οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
τὸν RA--ASM--- ὁ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Ezr 1:6
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
κυκλόθεν D--------- κυκλόθεν
ἐνίσχυσαν VA--AAPASN ἰσχύω ἐν
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
σκεύεσιν N3E-DPN--- σκεῦος
ἀργυρίου N2N-GSN--- ἀργύριον
ἐν P--------- ἐν
χρυσῷ A1C-DSM--- χρυσοῦς
ἐν P--------- ἐν
ἀποσκευῇ N1--DSF--- ἀποσκευή
καὶ C--------- καί
ἐν P--------- ἐν
κτήνεσιν N3E-DPN--- κτῆνος
καὶ C--------- καί
ἐν P--------- ἐν
ξενίοις N2N-DPN--- ξένιον
πάρεξ P--------- πάρεξ
τῶν RA--GPM--- ὁ
ἐν P--------- ἐν
ἑκουσίοις A1A-DPM--- ἑκούσιος

Ezr 1:7
καὶ C--------- καί
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Κῦρος N2--NSM--- Κῦρος
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
οἴκου N2--GSM--- οἶκος
κυρίου N2--GSM--- κύριος
ἃ RR--APN--- ὅς
ἔλαβεν VBI-AAI3S- λαμβάνω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ἀπὸ P--------- ἀπό
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
θεοῦ N2--GSM--- θεός
αὐτοῦ RD--GSM--- αὐτός

Ezr 1:8
καὶ C--------- καί
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
αὐτὰ RD--APN--- αὐτός
Κῦρος N2--NSM--- Κῦρος
βασιλεὺς N3V-NSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
Μιθραδάτου N1M-GSM--- Μιθραδάτης
γασβαρηνου N2--GSM--- γασβαρηνός
καὶ C--------- καί
ἠρίθμησεν VAI-AAI3S- ἀριθμέω
αὐτὰ RD--APN--- αὐτός
τῷ RA--DSM--- ὁ
Σασαβασαρ N---DSM--- Σασαβασαρ
ἄρχοντι N3--DSM--- ἄρχων
τοῦ RA--GSM--- ὁ
Ιουδα N---GSM--- Ἰουδά

Ezr 1:9
καὶ C--------- καί
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
ἀριθμὸς N2--NSM--- ἀριθμός
αὐτῶν RD--GPM--- αὐτός
ψυκτῆρες N3H-NPM--- ψυκτήρ
χρυσοῖ A1C-NPM--- χρυσοῦς
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
ψυκτῆρες N3H-NPM--- ψυκτήρ
ἀργυροῖ A1C-NPM--- ἀργυροῦς
χίλιοι A1A-NPM--- χίλιοι
παρηλλαγμένα VK--XMPAPN ἀλλάσσω παρα
ἐννέα M--------- ἐννέα
καὶ C--------- καί
εἴκοσι M--------- εἴκοσι

Ezr 1:10
κεφφουρη N3--NPN--- κεφφουρῆς
χρυσοῖ A1C-NPM--- χρυσοῦς
